	Marine_Methylotrophic_Group_2	Marinimicrobia_(SAR406_clade)	AEGEAN-169_marine_group	SAR202_clade	Clade_II	Nitrosopumilaceae	SAR324_clade(Marine_group_B)	Marine_Group_II	Arctic97B-4_marine_group	Acinetobacter	Poribacteria	Rheinheimera	JL-ETNP-F27	Clade_Ib	Pla3_lineage	SUP05_cluster	Marine_Group_III	S25-593	UBA10353_marine_group	Chryseobacterium	Sphingobium	SAR86_clade	Comamonas	BD7-11	Brevundimonas	Lentisphaera	Sva0996_marine_group	KI89A_clade	Herbaspirillum	LS-NOB	FS140-16B-02_marine_group	Methylobacterium-Methylorubrum	HOC36	PAUC34f	Alishewanella	Thalassospira	Rhodopirellula	Woesearchaeales	Candidatus_Nitrosotenuis	Chloroplast	Colwellia	Candidatus_Nitrosopumilus	Sphingomonas	Margulisbacteria	Pseudohongiella	028H05-P-BN-P5	Marinobacter	OM182_clade	Azospirillum	Acanthopleuribacter	NS9_marine_group	AT-s3-44	Marinoscillum	Urania-1B-19_marine_sediment_group	vadinHA49	Shewanella	P3OB-42	SAR11_clade	[Caedibacter]_taeniospiralis_group	Subgroup_10	KD3-93	Aureispira	Bdellovibrio	Marine_Benthic_Group_A	OM27_clade	AT-s2-59	Halomonas	BD2-11_terrestrial_group	A4b	Alcanivorax	Candidatus_Endoecteinascidia	CCM11a	N9D0	IheB2-23	SM2D12	Staphylococcus	Streptococcus	AncK6	Curvibacter	Arctic95B-14	GW2011_GWC1_47_15	Pla4_lineage	Caulobacter	Zoogloea	Candidatus_Megaira	OCS116_clade	Hyphomonas	SCGC_AAA164-E04	MB11C04_marine_group	Aquabacterium	SCGC_AAA011-D5	A714019	Clade_I	PB19	SGST604	Halobacteriovorax	Paludibaculum	C1-B045	Oleibacter	EPR3968-O8a-Bc78	Vogesella	Aliikangiella	Magnetospira	PAUC26f	NS7_marine_group	Reinekea	Methyloversatilis	NRL2	Sulfurimonas	Mycoplasma	Rubritalea	Candidatus_Entotheonella	Moritella	bacteriap25	Thalassotalea	Uruburuella	Ralstonia	Granulosicoccus	Marinicaulis	Candidatus_Fritschea	Vicingus	Rickettsiales	Stenotrophomonas	Aestuariibacter	Novosphingobium	koll11	Emticicia
Poribacteria	0	0	0	0	0.804195804195804	0	0	0	0	0	0	0	0	0	0	0	0	0.804195804195804	0	0	0	0	-0.804195804195804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867132867132867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rheinheimera	0	0	0	-0.804195804195804	0	0	0	-0.839160839160839	0	0	0	0	0	-0.937062937062937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.804195804195804	0	0	0	-0.825174825174825	0	0	0	0	0	0	0	0	0	0	0.972027972027972	0	0	0	0	0	0	0	0	-0.895104895104895	0	0	0	0	0	0	0	0	0	0	0	0	-0.881118881118881	0	0	0	0	0	0	0	0	0	0	0	0.818181818181818	0	0	0	0	0	0	0.811188811188811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JL-ETNP-F27	0	0	0	0	0	0.888111888111888	0	0.874125874125874	0.937062937062937	0	0	0	0	0.832167832167832	0	0.874125874125874	0	0.825174825174825	0	0	0	0	0	0	0	0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93006993006993	0	0	0	0	0	0	0	0	0	0	0	0	0.916083916083916	0	0	0.888111888111888	0	0	0.804195804195804	0	0	0.888111888111888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895104895104895	0	0	0	0	0	0	0	0	0.804195804195804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.853146853146853	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clade_Ib	0	0	0	0	0.839160839160839	0	0	0.818181818181818	0	0	0	-0.937062937062937	0.832167832167832	0	0	0	0	0.839160839160839	0	0	0	0	0	0	0	0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.874125874125874	0	0	0	0	0	0	0	0	0.972027972027972	0	0	0	0	0	0	0	0	0	0	0	0	0.853146853146853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.811188811188811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pla3_lineage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.846153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUP05_cluster	0	0	0	0	0	0.888111888111888	0.804195804195804	0.818181818181818	0.86013986013986	0	0	0	0.874125874125874	0	0	0	0	0	0.867132867132867	0	0	0.888111888111888	0	0	0	0	0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0.895104895104895	0	0	0.944055944055944	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.818181818181818	0	0	0	0	0.832167832167832	0	0	0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818181818181818	0	0	0	0	0.811188811188811	0.86013986013986	0	0	0.832167832167832	0	0	0	0	0	0	0.811188811188811	0	0	0	0	0	0	0	0	0	0	0.923076923076923	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marine_Group_III	0	0	0	0	0	0.853146853146853	0	0.867132867132867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.853146853146853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818181818181818	0	0	0	0	0	-0.825174825174825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S25-593	0	0	0	0	0	0	0	0.86013986013986	0	0	0.804195804195804	0	0.825174825174825	0.839160839160839	0	0	0	0	0	0	0	0	-0.804195804195804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.902097902097902	0	0	0	0	0	0.832167832167832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBA10353_marine_group	0	0	0	0	0	0.804195804195804	0.832167832167832	0	0.825174825174825	0	0	0	0	0	0	0.867132867132867	0	0	0	0	0	0.804195804195804	0	0	0	0	0.825174825174825	0	0	0	0	0	0.895104895104895	0	0	0	0	0	0.888111888111888	0	0	0.895104895104895	0	0	0	0	0	0	0	0	0	0.832167832167832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888111888111888	0	0	0	0	0	0	0	0	0	0	0	0.874125874125874	0	0	0	0	0	0	0	0	0.811188811188811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867132867132867	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895104895104895	0	0	0	0.853146853146853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.839160839160839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.916083916083916	0	0	0	0	0.804195804195804	0	0.853146853146853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86013986013986	0	0	0	0.825174825174825
Sphingobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895104895104895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.874125874125874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.874125874125874	0	0
SAR86_clade	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888111888111888	0	0	0.804195804195804	0	0	0	0	0	0	0	0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.832167832167832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818181818181818	0.804195804195804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas	0	0	0	0	0	0	0	-0.811188811188811	0	0	-0.804195804195804	0	0	0	0	0	0	-0.804195804195804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888111888111888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811188811188811	0	0	0	0
BD7-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.874125874125874
Brevundimonas	0	0	0	-0.839160839160839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.853146853146853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.832167832167832	0	0	-0.846153846153846	0	0	0	0	0.804195804195804	0	0	0	0	0	0.839160839160839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.874125874125874	0	0	0	0	0	0	0.881118881118881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.839160839160839
Lentisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0.818181818181818	0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.909090909090909	0	0	0.825174825174825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811188811188811	0	0	0	0	0	0	0	0	0	0	0	0
Sva0996_marine_group	0	0	0	0	0	0	0	0	0.825174825174825	0	0	0	0	0	0	0.818181818181818	0	0	0.825174825174825	0	0	0.818181818181818	0	0	0	0	0	0	0	0	0.909090909090909	0	0	0	0	0	0	0	0	0	0	0.839160839160839	0	0.853146853146853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.832167832167832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811188811188811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.846153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KI89A_clade	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.874125874125874	0	0	0	0	0	0	0	0	0	0
Herbaspirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86013986013986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811188811188811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.804195804195804	0	0	0	0
LS-NOB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867132867132867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FS140-16B-02_marine_group	0	0	0	0	0	0	0	0	0.867132867132867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.832167832167832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.825174825174825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895104895104895	0	0	0	0	0	0	0	0	0	0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.888111888111888	0	0	0.804195804195804	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium-Methylorubrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867132867132867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOC36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895104895104895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.874125874125874	0	0	0.832167832167832	0	0	0	0	0	0	0	0	0	0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.937062937062937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.825174825174825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAUC34f	0	0	0	0	0	0	0	0	0	0	0	-0.804195804195804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alishewanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.832167832167832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811188811188811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thalassospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.951048951048951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.811188811188811	0	0	0
Rhodopirellula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.811188811188811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Woesearchaeales	0	0	0	0	0	0	0	0	0	0	0.867132867132867	-0.825174825174825	0	0	0	0	0.853146853146853	0	0	0	0	0	0	0	-0.846153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.825174825174825	0	0	0	0	-0.853146853146853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.840631762006015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
